Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Symbols,FSLY,IMMR,MTTR,FB,RBLX,META,U,FSLY,IMMR,MTTR,FB,RBLX,META,U,FSLY,IMMR,MTTR,FB,RBLX,META,U,FSLY,IMMR,MTTR,FB,RBLX,META,U,FSLY,IMMR,MTTR,FB,RBLX,META,U,FSLY,IMMR,MTTR,FB,RBLX,META,U
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,21.5,7.760000228881836,,209.77999877929688,,,,21.5,7.760000228881836,,209.77999877929688,,,,21.8700008392334,7.78000020980835,,209.7899932861328,,,,20.829999923706055,7.349999904632568,,206.27000427246094,,,,21.139999389648438,7.510000228881836,,206.75,,,,1978300.0,232600.0,,12077100.0,,,
2020-01-03,21.760000228881836,7.639999866485596,,208.6699981689453,,,,21.760000228881836,7.639999866485596,,208.6699981689453,,,,22.0,7.760000228881836,,210.39999389648438,,,,20.927000045776367,7.610000133514404,,206.9499969482422,,,,20.979999542236328,7.690000057220459,,207.2100067138672,,,,1294100.0,124400.0,,11188400.0,,,
2020-01-06,21.860000610351562,7.579999923706055,,212.60000610351562,,,,21.860000610351562,7.579999923706055,,212.60000610351562,,,,22.5,7.630000114440918,,212.77999877929688,,,,21.209999084472656,7.510000228881836,,206.52000427246094,,,,21.399999618530273,7.559999942779541,,206.6999969482422,,,,1608700.0,157100.0,,17058900.0,,,
2020-01-07,21.399999618530273,7.590000152587891,,213.05999755859375,,,,21.399999618530273,7.590000152587891,,213.05999755859375,,,,22.479999542236328,7.710000038146973,,214.5800018310547,,,,21.350000381469727,7.570000171661377,,211.75,,,,21.860000610351562,7.579999923706055,,212.82000732421875,,,,1282100.0,117800.0,,14912400.0,,,
2020-01-08,21.790000915527344,7.699999809265137,,215.22000122070312,,,,21.790000915527344,7.699999809265137,,215.22000122070312,,,,22.229999542236328,7.769999980926514,,216.24000549316406,,,,21.170000076293945,7.579999923706055,,212.61000061035156,,,,21.43000030517578,7.579999923706055,,213.0,,,,748300.0,134000.0,,13475000.0,,,
2020-01-09,21.610000610351562,7.650000095367432,,218.3000030517578,,,,21.610000610351562,7.650000095367432,,218.3000030517578,,,,22.299999237060547,7.840000152587891,,218.3800048828125,,,,21.309999465942383,7.610000133514404,,216.27999877929688,,,,22.1200008392334,7.760000228881836,,217.5399932861328,,,,869000.0,139300.0,,12642800.0,,,
2020-01-10,21.229999542236328,7.75,,218.05999755859375,,,,21.229999542236328,7.75,,218.05999755859375,,,,21.979999542236328,7.829999923706055,,219.8800048828125,,,,21.010000228881836,7.639999866485596,,217.4199981689453,,,,21.65999984741211,7.639999866485596,,219.1999969482422,,,,807600.0,171600.0,,12119400.0,,,
2020-01-13,22.149999618530273,7.670000076293945,,221.91000366210938,,,,22.149999618530273,7.670000076293945,,221.91000366210938,,,,22.34000015258789,7.800000190734863,,221.97000122070312,,,,21.384000778198242,7.659999847412109,,219.2100067138672,,,,21.479999542236328,7.75,,219.60000610351562,,,,896900.0,155700.0,,14463400.0,,,
2020-01-14,22.049999237060547,7.539999961853027,,219.05999755859375,,,,22.049999237060547,7.539999961853027,,219.05999755859375,,,,22.489999771118164,7.690000057220459,,222.3800048828125,,,,21.75,7.539999961853027,,218.6300048828125,,,,22.200000762939453,7.639999866485596,,221.61000061035156,,,,736000.0,108500.0,,13288900.0,,,
2020-01-15,22.760000228881836,7.699999809265137,,221.14999389648438,,,,22.760000228881836,7.699999809265137,,221.14999389648438,,,,22.8799991607666,7.739999771118164,,221.67999267578125,,,,22.1299991607666,7.539999961853027,,220.13999938964844,,,,22.15999984741211,7.550000190734863,,220.61000061035156,,,,1231700.0,128200.0,,10036500.0,,,
2020-01-16,24.079999923706055,7.829999923706055,,221.77000427246094,,,,24.079999923706055,7.829999923706055,,221.77000427246094,,,,24.489999771118164,7.949999809265137,,222.6300048828125,,,,22.56999969482422,7.739999771118164,,220.38999938964844,,,,22.600000381469727,7.75,,222.57000732421875,,,,2934700.0,124500.0,,10015300.0,,,
2020-01-17,24.40999984741211,7.739999771118164,,222.13999938964844,,,,24.40999984741211,7.739999771118164,,222.13999938964844,,,,24.739999771118164,7.880000114440918,,222.2899932861328,,,,23.610000610351562,7.71999979019165,,220.52999877929688,,,,24.299999237060547,7.880000114440918,,222.02999877929688,,,,1586200.0,84100.0,,15905900.0,,,
2020-01-21,24.440000534057617,7.670000076293945,,221.44000244140625,,,,24.440000534057617,7.670000076293945,,221.44000244140625,,,,25.059999465942383,7.739999771118164,,222.3699951171875,,,,23.809999465942383,7.610000133514404,,219.1199951171875,,,,24.239999771118164,7.659999847412109,,222.16000366210938,,,,1944400.0,122500.0,,14275800.0,,,
2020-01-22,24.65999984741211,7.619999885559082,,221.32000732421875,,,,24.65999984741211,7.619999885559082,,221.32000732421875,,,,25.139999389648438,7.71999979019165,,222.75,,,,24.549999237060547,7.550000190734863,,221.27999877929688,,,,24.84000015258789,7.550000190734863,,222.30999755859375,,,,1706200.0,149400.0,,12212800.0,,,
2020-01-23,25.18000030517578,7.590000152587891,,219.75999450683594,,,,25.18000030517578,7.590000152587891,,219.75999450683594,,,,25.34000015258789,7.670000076293945,,221.49000549316406,,,,23.799999237060547,7.5,,219.27000427246094,,,,24.479999542236328,7.570000171661377,,220.75,,,,1450200.0,103700.0,,11195000.0,,,
2020-01-24,24.010000228881836,7.75,,217.94000244140625,,,,24.010000228881836,7.75,,217.94000244140625,,,,25.940000534057617,7.880000114440918,,221.77999877929688,,,,23.399999618530273,7.639999866485596,,216.11000061035156,,,,25.34000015258789,7.639999866485596,,220.8000030517578,,,,1730900.0,254700.0,,11905800.0,,,
2020-01-27,22.860000610351562,7.539999961853027,,214.8699951171875,,,,22.860000610351562,7.539999961853027,,214.8699951171875,,,,23.56999969482422,7.670000076293945,,216.05999755859375,,,,22.68000030517578,7.539999961853027,,212.5,,,,23.049999237060547,7.630000114440918,,213.10000610351562,,,,1015600.0,139400.0,,13810700.0,,,
2020-01-28,23.65999984741211,7.690000057220459,,217.7899932861328,,,,23.65999984741211,7.690000057220459,,217.7899932861328,,,,23.850000381469727,7.78000020980835,,218.74000549316406,,,,22.850000381469727,7.599999904632568,,213.52000427246094,,,,23.219999313354492,7.599999904632568,,216.13999938964844,,,,956700.0,184000.0,,13413800.0,,,
2020-01-29,24.299999237060547,7.659999847412109,,223.22999572753906,,,,24.299999237060547,7.659999847412109,,223.22999572753906,,,,24.450000762939453,7.690000057220459,,224.1999969482422,,,,23.40999984741211,7.559999942779541,,218.4499969482422,,,,23.889999389648438,7.690000057220459,,221.44000244140625,,,,1210600.0,146100.0,,33181300.0,,,
2020-01-30,23.350000381469727,7.599999904632568,,209.52999877929688,,,,23.350000381469727,7.599999904632568,,209.52999877929688,,,,24.0,7.639999866485596,,211.42999267578125,,,,22.6200008392334,7.460000038146973,,204.75,,,,24.0,7.579999923706055,,206.52999877929688,,,,1198400.0,99100.0,,48775500.0,,,
2020-01-31,22.510000228881836,7.320000171661377,,201.91000366210938,,,,22.510000228881836,7.320000171661377,,201.91000366210938,,,,23.229999542236328,7.590000152587891,,208.69000244140625,,,,22.229999542236328,7.260000228881836,,201.05999755859375,,,,23.059999465942383,7.590000152587891,,208.42999267578125,,,,1417500.0,136500.0,,31359900.0,,,
