Date,FSLY,IMMR,FB,U,NVDA,AAPL,MSFT,METV
2021-06-30,59.599998474121094,8.770000457763672,347.7099914550781,109.83000183105469,199.93118286132812,136.38206481933594,269.33172607421875,15.119999885559082
2021-07-01,58.02000045776367,8.489999771118164,354.3900146484375,105.83999633789062,202.02520751953125,136.6907501220703,270.0276794433594,14.890000343322754
2021-07-02,56.470001220703125,8.460000038146973,354.70001220703125,106.08999633789062,204.77391052246094,139.36940002441406,276.0426330566406,15.0
2021-07-06,56.86000061035156,8.220000267028809,352.7799987792969,106.6500015258789,206.88792419433594,141.4207000732422,276.0525817871094,15.010000228881836
2021-07-07,54.369998931884766,8.229999542236328,350.489990234375,104.48999786376953,203.62196350097656,143.95994567871094,278.3094482421875,14.890000343322754
2021-07-08,54.9900016784668,8.380000114440918,345.6499938964844,105.18000030517578,198.9341583251953,142.6355438232422,275.81396484375,14.739999771118164
2021-07-09,56.38999938964844,8.449999809265137,350.4200134277344,106.52999877929688,200.40847778320312,144.49766540527344,276.3309631347656,14.899999618530273
2021-07-12,54.369998931884766,8.279999732971191,353.1600036621094,106.19000244140625,205.02879333496094,143.89024353027344,275.7145690917969,14.9399995803833
2021-07-13,53.709999084472656,8.0,352.0899963378906,103.54000091552734,202.405029296875,145.02542114257812,279.3533630371094,14.899999618530273
2021-07-14,50.130001068115234,7.78000020980835,347.6300048828125,99.62000274658203,198.3219451904297,148.52059936523438,280.8745422363281,14.760000228881836
2021-07-15,49.099998474121094,7.760000228881836,344.4599914550781,96.75,189.5735626220703,147.8534393310547,279.4030456542969,14.539999961853027
2021-07-16,49.9900016784668,7.579999923706055,341.1600036621094,96.70999908447266,181.52481079101562,145.77224731445312,279.12469482421875,14.380000114440918
2021-07-19,51.209999084472656,7.639999866485596,336.95001220703125,98.2300033569336,187.70941162109375,141.848876953125,275.4063720703125,14.3100004196167
2021-07-20,51.5,7.760000228881836,341.6600036621094,100.16000366210938,186.03269958496094,145.5332489013672,277.7029724121094,14.460000038146973
2021-07-21,52.459999084472656,7.909999847412109,346.2300109863281,103.30999755859375,194.00897216796875,144.78643798828125,279.7709045410156,14.670000076293945
2021-07-22,52.369998931884766,7.670000076293945,351.19000244140625,104.19999694824219,195.8480987548828,146.18051147460938,284.4834899902344,14.708999633789062
2021-07-23,49.81999969482422,7.5,369.7900085449219,105.5,195.48828125,147.93310546875,287.9930419921875,14.800000190734863
2021-07-26,48.970001220703125,7.429999828338623,372.4599914550781,103.31999969482422,192.84950256347656,148.36129760742188,287.3766174316406,14.630000114440918
2021-07-27,48.16999816894531,7.21999979019165,367.80999755859375,100.77999877929688,191.9899139404297,146.15065002441406,284.8811950683594,14.359999656677246
2021-07-28,50.349998474121094,7.78000020980835,373.2799987792969,108.75,194.93853759765625,144.3682098388672,284.5630187988281,14.623000144958496
2021-07-29,49.11000061035156,7.75,358.32000732421875,111.25,196.5277862548828,145.02542114257812,284.8414001464844,14.717000007629395
2021-07-30,48.06999969482422,7.559999942779541,356.29998779296875,107.12000274658203,194.89854431152344,145.24449157714844,283.2606201171875,14.619999885559082
2021-08-02,47.36000061035156,7.570000171661377,351.95001220703125,107.62999725341797,197.40736389160156,144.9059295654297,283.171142578125,14.640000343322754
2021-08-03,46.22999954223633,7.400000095367432,351.239990234375,105.19999694824219,198.05706787109375,146.7381591796875,285.4577941894531,14.569999694824219
2021-08-04,44.540000915527344,7.320000171661377,358.9200134277344,109.1500015258789,202.64492797851562,146.32989501953125,284.8513488769531,14.720000267028809
2021-08-05,39.93000030517578,7.409999847412109,362.9700012207031,110.26000213623047,206.27320861816406,146.43943786621094,287.8439025878906,14.729999542236328
2021-08-06,41.2400016784668,7.409999847412109,363.510009765625,107.0,203.56448364257812,145.7413330078125,287.7842712402344,14.649999618530273
